sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
51	2026-09-23T15:16:34.810604036Z	51001	26	151	3	2	1	4	0.000	67	0.000	13152	21.998	11593	20.998	568	0.000	0	0.000	1	0.000	576314110	24865.741	17186225	31248.161	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	610	1.000	0	0.000	0.000	1	0.000	4	0	0.000
52	2026-09-23T15:16:35.81051761Z	52001	26	151	3	2	1	4	0.000	67	0.000	13174	22.002	11614	21.002	568	0.000	0	0.000	1	0.000	576338978	24870.149	17217476	31253.701	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	611	1.000	0	0.000	0.000	1	0.000	4	0	0.000
53	2026-09-23T15:16:36.810565725Z	53001	26	151	3	2	1	4	0.000	67	0.000	13196	21.999	11635	20.999	568	0.000	0	0.000	1	0.000	576363846	24866.803	17248727	31249.496	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	612	1.000	0	0.000	0.000	1	0.000	4	0	0.000
54	2026-09-23T15:16:37.810385313Z	54001	26	151	3	2	1	4	0.000	67	0.000	13218	22.004	11656	21.004	568	0.000	0	0.000	1	0.000	576388714	24872.487	17279978	31256.639	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	613	1.000	0	0.000	0.000	1	0.000	4	0	0.000
55	2026-09-23T15:16:38.810433421Z	55001	26	151	3	2	1	4	0.000	67	0.000	13240	21.999	11677	20.999	568	0.000	0	0.000	1	0.000	576413582	24866.803	17311229	31249.496	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	614	1.000	0	0.000	0.000	1	0.000	4	0	0.000
56	2026-09-23T15:16:39.810566131Z	56001	26	151	3	2	1	4	0.000	67	0.000	13262	21.997	11698	20.997	568	0.000	0	0.000	1	0.000	576438450	24864.700	17342480	31246.853	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	615	1.000	0	0.000	0.000	1	0.000	4	0	0.000
57	2026-09-23T15:16:40.81044258Z	57001	26	151	3	2	1	4	0.000	67	0.000	13284	22.003	11719	21.003	568	0.000	0	0.000	1	0.000	576463318	24871.073	17373731	31254.862	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	616	1.000	0	0.000	0.000	1	0.000	4	0	0.000
58	2026-09-23T15:16:41.810389491Z	58001	26	151	3	2	1	4	0.000	67	0.000	13306	22.001	11740	21.001	568	0.000	0	0.000	1	0.000	576488186	24869.320	17404982	31252.659	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	617	1.000	0	0.000	0.000	1	0.000	4	0	0.000
59	2026-09-23T15:16:42.810396688Z	59001	26	151	3	2	1	4	0.000	67	0.000	13328	22.000	11761	21.000	568	0.000	0	0.000	1	0.000	576513054	24867.821	17436233	31250.775	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	618	1.000	0	0.000	0.000	1	0.000	4	0	0.000
60	2026-09-23T15:16:43.8105114Z	60001	26	151	3	2	1	4	0.000	67	0.000	13352	23.997	11783	21.997	568	0.000	0	0.000	1	0.000	576538570	25513.074	17468475	32238.302	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	620	2.000	0	0.000	0.000	1	0.000	4	0	0.000
61	2026-09-23T15:16:44.810552207Z	61001	26	151	3	2	1	4	0.000	67	0.000	13374	21.999	11804	20.999	568	0.000	0	0.000	1	0.000	576563438	24866.985	17499726	31249.725	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	621	1.000	0	0.000	0.000	1	0.000	4	0	0.000
62	2026-09-23T15:16:45.810512208Z	62001	26	151	3	2	1	4	0.000	67	0.000	13396	22.001	11825	21.001	568	0.000	0	0.000	1	0.000	576588306	24868.995	17530977	31252.250	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	622	1.000	0	0.000	0.000	1	0.000	4	0	0.000
63	2026-09-23T15:16:46.810598246Z	63001	26	151	3	2	1	4	0.000	67	0.000	13418	21.998	11846	20.998	568	0.000	0	0.000	1	0.000	576613174	24865.861	17562228	31248.312	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	623	1.000	0	0.000	0.000	1	0.000	4	0	0.000
64	2026-09-23T15:16:47.810403394Z	64001	26	151	3	2	1	4	0.000	67	0.000	13440	22.004	11867	21.004	568	0.000	0	0.000	1	0.000	576638042	24872.846	17593479	31257.090	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	624	1.000	0	0.000	0.000	1	0.000	4	0	0.000
65	2026-09-23T15:16:48.810387911Z	65001	26	151	3	2	1	4	0.000	67	0.000	13462	22.000	11888	21.000	568	0.000	0	0.000	1	0.000	576662910	24868.385	17624730	31251.484	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	625	1.000	0	0.000	0.000	1	0.000	4	0	0.000
